name,stat,value,percentile
LUCKY,epm,3.2235141327387007,0.4788732394366197
METHODZSICK,kd,0.8940582959641256,0.27230046948356806
METHODZSICK,time_s,65295.2,0.5586854460093896
METHODZSICK,kpm,1.4656513801933375,0.26291079812206575
METHODZSICK,epm,3.1049755571619353,0.3051643192488263
SUKRY,kd,0.9738872403560831,0.5446009389671361
SUKRY,time_s,65295.2,0.5586854460093896
SUKRY,kpm,1.5079209497788506,0.3474178403755869
SUKRY,epm,3.0562736617699313,0.2535211267605634
ENABLE,kd,0.9868563476109479,0.5868544600938967
ENABLE,time_s,234833.7,0.9014084507042254
ENABLE,kpm,1.6306007187213758,0.6291079812206573
ENABLE,epm,3.282918933696484,0.5539906103286385
FERO,kd,1.0316877918612408,0.7605633802816901
FERO,time_s,204322.75,0.812206572769953
