player,type,estimate,std.error,statistic,p.value
CRIMSIX,P2,1.229502193163265,0.1087895041146355,1.8991663592793668,0.05754260633561039
DAMAGE,P3,0.6542197530120847,0.28063094581066633,-1.5119928023591915,0.13053569360152606
DAMAGE,P2,1.2614961570980296,0.2784467629307508,0.8342651943720077,0.4041315605664213
DAMAGE,P1,0.9101088253813775,0.10675450535344827,-0.8823149709543312,0.3776065027446775
DASHY,P2,1.0546771164246374,0.09809297446248358,0.5426960451990079,0.5873390976271147
DASHY,P3,1.1770081773400753,0.09522893923030398,1.7114101782914841,0.0870054195645174
DASHY,P1,0.6823804304864753,0.07743466515286945,-4.935360150949542,8.000298992034573e-7
DECEMATE,P2,1.0483991262016927,0.08402083926619723,0.5625313841263336,0.573754026988611
DECEMATE,P3,1.0845099265756464,0.08475374615949008,0.9572226368131979,0.3384548937243348
DECEMATE,P1,0.946926587726205,0.07619784451545025,-0.7156857261278494,0.47418542648969425
DENZ,P3,0.9991698009633534,0.17258949907267734,-0.004812250149522326,0.996160394722418
DENZ,P2,1.2727005325344607,0.17238022776419654,1.3988904039188288,0.16184585063416024
DENZ,P1,0.8790202772325476,0.07072032055052067,-1.8233417500840219,0.06825164669144829
DENZA,P2,1.4609811026591615,0.22999516532817818,1.6483311621750485,0.09928473342494072
DENZA,P1,0.9413638373180434,0.21521688237558464,-0.2807659130280903,0.7788899498367201
DENZA,P3,1.0236075204234307,0.2058752681508211,0.11333645133545328,0.9097638194191172
DIABOLIC,P3,0.8142513500228569,0.13075125903550472,-1.5715808654343,0.11604778693354198
DIABOLIC,P1,1.0536380754383463,0.13195904824209959,0.395948666719555,0.6921428978759476
DIABOLIC,P2,1.0097388684907178,0.12955822450013663,0.07480614536803841,0.9403689522240044
DQVEE,P3,0.9896164558333446,0.11416186321958069,-0.091430088605507,0.9271508546183487
DQVEE,P1,0.9251947475287763,0.08283721895519808,-0.9386001454587993,0.3479360780866957
DQVEE,P2,0.9604716017028192,0.11505703365844193,-0.35052931653757685,0.7259414926193266
ENABLE,P3,1.0737337659711867,0.09100651962126195,0.7817250400929152,0.434376182526451
ENABLE,P1,0.9018589981437062,0.07063915008879683,-1.4623207153194855,0.14365334447473269
ENABLE,P2,1.020060504513604,0.08976177543933325,0.22127396199893404,0.8248791228156339
FACCENTO,P2,1.0745328935423808,0.09716653287729593,0.7398231405999424,0.45940731584518957
FACCENTO,P3,1.068610520996356,0.10016496460257984,0.6624993713651345,0.5076512375745369
FACCENTO,P1,1.0046134145362662,0.07542097953912878,0.06102818320224319,0.9513367639325562
FELONY,P2,1.1942820838035824,0.10136224471354432,1.7515914200701317,0.07984408896309911
FELONY,P3,1.0055113878716915,0.10190042616312336,0.053937514830736465,0.9569849476419996
FELONY,P1,1.0637610358503535,0.08131558727723555,0.7601344022556731,0.4471742507274156
FERO,P1,0.9073271532176002,0.06702913305329598,-1.450894429449315,0.14680925931336888
FERO,P2,1.261217284432422,0.0828898550086995,2.7998281975745747,0.005112981102680514
FERO,P3,1.0537279965615691,0.08042600990339999,0.6507142291208142,0.5152309761965925
FIGHTA,P1,1.055344983247297,0.07288262938027114,0.7391022013398589,0.4598449402443893
FIGHTA,P2,1.2337666146214934,0.17080049763184335,1.2299248617695766,0.21872524322759995
FIGHTA,P3,0.8638464245132468,0.17160681915441586,-0.8528814653434327,0.39372504108173006
FORMAL,P2,1.2950953608678781,0.10981155349223508,2.35480076506225,0.018532639222359516
FORMAL,P3,1.1053986456422935,0.10977193720272095,0.9128565801991392,0.36131797610722294
FORMAL,P1,0.7308047614542559,0.06645257859794279,-4.719289239278772,2.366701090158145e-6
GENERAL,P2,1.504802962597571,0.11056839217838461,3.6960107650695813,2.1901368978635244e-4
GENERAL,P3,1.0365535299498387,0.10286684796487126,0.3490074516816793,0.7270837152760998
GENERAL,P1,0.8958243841828075,0.09981412220942971,-1.102157516176178,0.27039319802928236
GODRX,P2,1.1503861240791136,0.1412931817089051,0.991538617750057,0.32142264513425317
GODRX,P3,1.0198802851939872,0.14629584128727624,0.1345578437363115,0.8929614742172812
GODRX,P1,0.9262660280911916,0.10608605273026024,-0.7219968720517929,0.4702964006355251
GOONJAR,P2,0.9244129273425146,0.13663901328502798,-0.5752121170492155,0.5651478488799462
GOONJAR,P3,1.0590680074293255,0.13347891484924834,0.42995017720874723,0.6672318840327032
GOONJAR,P1,0.8855757775279838,0.10974709346598016,-1.1072479972413733,0.268186721013958
GUNLESS,P3,1.253125917596349,0.0940394357360828,2.399431281066414,0.01642056162645894
GUNLESS,P1,0.9177624384158148,0.06396781869059902,-1.3415605735847118,0.17973851700026228
GUNLESS,P2,1.1152555725709217,0.09242269949988152,1.1802684005676687,0.2378934818661651
HAWQEH,P1,0.8558147141429363,0.0839080886424114,-1.8556182631485958,0.06350798865099631
HAWQEH,P2,1.007527472089197,0.11519604106623767,0.06510017167139102,0.9480942437502636
HAWQEH,P3,1.135525303263491,0.11605361855934979,1.0951435009134602,0.27345377340487215
HUKE,P1,0.8996793978447407,0.06764741508615824,-1.5627619119399752,0.11810860597449661
HUKE,P3,1.2104921359979588,0.08986998546987737,2.125592876034924,0.03353717330523142
HUKE,P2,1.152653000787869,0.09241089850094286,1.537332121495263,0.12421199931154639
JKAP,P3,0.9061229133539151,0.11151574276811806,-0.8840035831746798,0.3766942785694303
JKAP,P1,0.9022240750394829,0.06575567159524215,-1.5647679820366407,0.11763732173333517
JKAP,P2,1.280096046832131,0.11058739929647737,2.2329407624643363,0.025552851040753746
JOEE,P2,1.1365436325278964,0.09865829291656425,1.297323841790534,0.19451978435923692
JOEE,P1,0.9721984608934665,0.06581225365291515,-0.4284204828773182,0.6683450147108321
JOEE,P3,0.8927586142937883,0.10049491335709458,-1.1288038329273382,0.25898059539356466
JOHN,P2,1.3989012189502412,0.10911129353740644,3.07655673377359,0.0020940644833417625
JOHN,P1,0.8326963123977087,0.06010641592159418,-3.0460354594657058,0.0023188048678348806
JOHN,P3,0.996496722837387,0.11023384509019679,-0.03183621150829158,0.97460266865587
JOHNNY,P3,1.2200505633886467,0.30495120507921963,0.652210255195386,0.514265545175975
JOHNNY,P2,1.1074661664721317,0.29336940152707214,0.3479390573057455,0.7278859522302129
JOHNNY,P1,0.7063104831210526,0.257770945956391,-1.3488733537478255,0.17737764831950834
JOSHH,P2,1.2190561355048266,0.10049360538172766,1.9710398402126528,0.0487193189931188
JOSHH,P3,0.8553359603338426,0.10010224236509385,-1.5610134944993983,0.11852056692728702
JOSHH,P1,0.9925638971263393,0.06924443133019179,-0.10779045149986506,0.914161917356875
JURD,P3,1.060893423463816,0.10784599492314607,0.5481094174141184,0.5836167745796098
JURD,P1,0.8988605583340795,0.07305656263851885,-1.45951794357713,0.14442260560997916
JURD,P2,1.1743144854632463,0.10728206797775636,1.4977765039793152,0.1341913273375719
JURNII,P1,0.8792963626312416,0.14162476783732408,-0.9082682445602129,0.363736515730265
JURNII,P3,1.5498475178479325,0.4990770342079869,0.8779337065776155,0.37997969595510483
JURNII,P2,1.0732391850212366,0.5017405885668358,0.14087230101140372,0.887970824491479
KARMA,P1,0.8997201656732303,0.0842560826119329,-1.2541704736274493,0.20978004943917766
KARMA,P3,0.9425488248004236,0.1209696133267797,-0.48911090870497403,0.6247631788136967
KARMA,P2,1.3942379237987208,0.1206536773590143,2.75456150274885,0.005877084300019841
KENNY,P2,1.0862185490627687,0.08528815104389433,0.9696826872655383,0.33220468268398246
KENNY,P1,0.7550969319619762,0.059148846651780926,-4.749190680304121,2.042323110951195e-6
KENNY,P3,1.2462124426461265,0.08717585812198353,2.524883726866616,0.011573657475145029
LACEFIELD,P3,0.9306181229314346,0.13552072106402294,-0.5305924048940279,0.5957012599778078
LACEFIELD,P1,1.1398131234546252,0.11982209841086111,1.0921551525998665,0.2747649109646509
LACEFIELD,P2,0.9048583356023473,0.13950320455624957,-0.7166637003011951,0.4735816290481034
LLAMAGOD,P2,0.9228965963428711,0.17963269604446422,-0.4466785974176743,0.6551071371816573
LLAMAGOD,P3,1.343928914958427,0.1975220751244199,1.496528172155277,0.1345160721120479
LLAMAGOD,P1,1.2837095690446096,0.1827060163102956,1.3669718840861902,0.17163411843259807
LOONY,P1,0.7694830877136573,0.06765777298439805,-3.872966736357143,1.0751850685033484e-4
LOONY,P2,1.133272985188612,0.09558627376863821,1.3088688180909158,0.19057879069126887
LOONY,P3,1.0067433287334895,0.09588652899901644,0.07009007688824258,0.9441219647749943
LUCKY,P3,1.0768862408339728,0.4985447353125043,0.14857997965298986,0.8818850715617743
LUCKY,P2,0.8845011641417001,0.4966086919513106,-0.2471391484167858,0.8048005371601413
LUCKY,P1,0.865441985491047,0.15523867511540526,-0.9309209612607008,0.35189445079461235
MADCAT,P2,1.1096848447651335,0.10803746406648089,0.9633329722663475,0.33538045157710583
MADCAT,P3,1.0211864413227374,0.10708211969221526,0.19578552569466315,0.8447780396446763
MADCAT,P1,0.8432760012603446,0.07416812111190603,-2.2983050990014733,0.02154443045178613
MALLS,P1,1.0262363089817306,0.10648815194480683,0.24320114868022613,0.8078495770549793
MALLS,P3,0.6930933883740333,0.17184681082429673,-2.1332402245614848,0.03290502494970758
MALLS,P2,1.1905030724935843,0.16430880737785208,1.061269755208198,0.2885673265565068
MAUX,P3,1.143527279517745,0.15547832302386652,0.8626127922314608,0.38835039463851695
MAUX,P1,0.791892383530847,0.1419026367088676,-1.6442948573189777,0.10011531110450995
MAUX,P2,1.0506865397623943,0.1588219424274524,0.31131591228144245,0.7555604716639829
MAYHEM,P3,0.7526734534748332,0.21361494909412446,-1.330074543795386,0.18349371187078592
MAYHEM,P1,1.3223734497313882,0.13986425820702147,1.9978527292792387,0.045732628754274376
MAYHEM,P2,1.1510696167719339,0.21949566166968382,0.6409767307896844,0.5215378012721484
METHODZSICK,P2,0.8289249890077499,0.49717705114757754,-0.3773818827993683,0.7058898287152608
METHODZSICK,P1,0.8629235700176607,0.1482546179797043,-0.9944321260344771,0.3200125342068345
METHODZSICK,P3,1.353060487891292,0.501147635568902,0.6033532500731554,0.5462737154505513
